Credit Memo Number,Customer ID,Ship To ID,Order Number,Customer PO Number,Credit Memo Date,Ship Date,Due Date,Reason Code
1417520,101064,210081,5005,2843,6/5/2013,5/4/2013,7/4/2013,701010
1380029,101096,220512,39008,22114,5/29/2014,5/1/2014,6/28/2014,701010
508504,101031,230556,50009,28356,5/12/2013,3/21/2013,6/7/2013,701006
1291521,101096,220514,66005,37432,3/7/2014,2/8/2014,4/10/2014,701010
882032,101034,230607,68006,38565,2/23/2013,2/20/2013,3/21/2013,701010
483035,101069,230649,71009,40261,8/30/2014,9/5/2014,9/25/2014,701006
721501,101085,230772,80005,45367,9/14/2013,9/22/2013,10/15/2013,701010
321037,101193,210252,99007,56141,4/25/2014,4/1/2014,5/27/2014,701010
627023,101031,230576,110003,62372,1/2/2014,2/12/2014,1/29/2014,701010
817540,101069,230701,121002,68608,6/15/2014,7/4/2014,7/10/2014,701010
894032,101073,230716,130001,73718,8/3/2013,8/30/2013,9/3/2013,701010
1168508,101090,230824,144007,81652,12/11/2014,12/10/2014,12/31/2014,701010
903009,101034,230607,176009,99800,7/19/2013,5/25/2013,8/14/2013,701010
1390531,101069,230655,180003,102063,1/1/2014,1/18/2014,2/1/2014,701010
229525,101112,210137,186007,105471,6/22/2014,7/17/2014,7/23/2014,701008
1360506,101096,220510,191001,108310,10/11/2014,11/11/2014,11/13/2014,701010
615025,101198,210259,201002,113972,10/2/2013,10/17/2013,11/3/2013,701003
1033505,101198,210259,206007,116810,10/18/2014,9/4/2014,11/17/2014,701010
1071005,101069,230650,208001,117942,9/25/2013,10/23/2013,10/20/2013,701010
268534,101085,230770,263002,149129,1/11/2014,12/6/2013,2/10/2014,701006
1197036,101073,230732,291008,165007,11/17/2013,9/30/2013,12/21/2013,701010
385509,101034,230613,303010,171802,3/2/2013,4/30/2013,3/28/2013,701007
504019,101030,220333,309007,175210,5/3/2013,4/27/2013,5/29/2013,701008
360004,101124,210153,328005,185983,8/24/2014,8/28/2014,9/26/2014,701009
558012,101019,210028,346006,196194,4/8/2014,2/15/2014,5/10/2014,701007
1309522,101057,210070,350002,198453,7/27/2013,7/13/2013,8/26/2013,701010
217510,101069,230683,351010,199021,3/3/2013,2/27/2013,4/5/2013,701010
1245021,101085,230764,353004,200157,3/15/2014,3/8/2014,4/14/2014,701010
796515,101073,230749,366009,207527,6/5/2014,6/15/2014,7/3/2014,701010
1090519,101035,220356,385001,218308,5/17/2014,6/7/2014,6/12/2014,701010
1288529,101090,230833,413005,234173,8/30/2013,9/21/2013,9/24/2013,701010
154523,101085,230794,419008,237583,9/20/2014,11/11/2014,10/15/2014,701008
478504,101034,230600,427006,242116,2/5/2014,3/21/2014,3/9/2014,701004
997534,101067,210085,430006,243815,9/15/2014,11/14/2014,10/12/2014,701010
915027,101073,230746,442006,250618,9/17/2014,8/7/2014,10/16/2014,701010
1392006,101114,210139,446006,252887,3/7/2014,2/7/2014,4/8/2014,701010
450013,101073,230709,454009,257420,6/29/2014,7/9/2014,7/29/2014,701002
655508,101034,230635,459003,260266,9/4/2013,10/14/2013,9/30/2013,701010
874527,101085,230807,472007,267627,7/1/2014,8/7/2014,7/26/2014,701010
723002,101085,230760,490010,277836,8/26/2013,10/3/2013,9/20/2013,701010
1173033,101073,230719,506001,286912,7/14/2014,5/20/2014,8/12/2014,701010
616532,101019,210028,509008,288610,6/28/2014,7/15/2014,7/30/2014,701010
58516,101034,230644,522002,295981,10/23/2014,9/13/2014,11/17/2014,701006
657004,101004,220284,527008,298813,6/4/2014,6/6/2014,7/3/2014,701010
136517,101034,230599,536010,303919,2/8/2014,3/4/2014,3/12/2014,701009
790536,101048,210058,538007,305056,6/3/2014,6/24/2014,7/6/2014,701010
789020,101090,230844,539009,305619,12/28/2013,12/23/2013,1/31/2014,701010
832538,101144,210184,548010,310718,6/21/2013,6/29/2013,7/21/2013,701010
798037,101181,210234,550002,311852,10/14/2013,10/3/2013,11/17/2013,701010
1195506,101090,230820,554010,314126,11/25/2014,11/24/2014,12/20/2014,701010
114030,101002,220272,567010,321500,11/4/2014,10/1/2014,12/7/2014,701009
600023,101111,210135,582007,330004,10/5/2014,10/12/2014,11/5/2014,701002
1027504,101092,210109,584009,331137,8/10/2013,6/14/2013,9/10/2013,701010
498017,101069,230693,590001,334543,4/19/2014,3/10/2014,5/17/2014,701009
1399537,101003,210003,623010,353252,5/25/2014,5/22/2014,6/26/2014,701010
1311005,101093,220499,635002,360052,1/8/2013,3/5/2013,2/2/2013,701010
534007,101044,220392,648009,367426,12/31/2014,11/15/2014,12/31/2014,701003
709540,101069,230691,652010,369697,5/6/2013,6/2/2013,6/9/2013,701010
1240512,101034,230624,668010,378762,1/6/2014,12/6/2013,2/5/2014,701010
553515,101002,220278,674004,382171,4/22/2014,5/26/2014,5/18/2014,701004
1177501,101085,230808,675001,382735,2/16/2014,4/17/2014,3/19/2014,701010
787512,101033,220351,677008,383865,11/18/2013,11/13/2013,12/19/2013,701010
333033,101069,230661,686009,388964,9/16/2014,10/20/2014,10/14/2014,701002
819016,101093,220491,692008,392371,2/20/2014,1/23/2014,3/25/2014,701010
738034,101073,230751,696004,394643,9/1/2013,7/29/2013,10/1/2013,701010
1017008,101141,210180,702010,398040,8/25/2014,10/8/2014,9/25/2014,701010
1209002,101080,210098,703001,398607,10/30/2013,9/12/2013,11/29/2013,701010
34508,101085,230791,713008,404278,4/15/2014,4/10/2014,5/19/2014,701011
232519,101031,230544,733007,415620,10/11/2013,9/30/2013,11/6/2013,701001
946532,101038,220370,735006,416758,7/19/2014,8/5/2014,8/17/2014,701010
124506,101028,210039,773007,438299,2/1/2013,1/5/2013,3/1/2013,701006
613535,101150,210192,774001,438859,12/23/2012,2/14/2013,1/25/2013,701011
769505,101073,230751,792004,449076,5/6/2013,3/27/2013,6/6/2013,701010
183017,101022,210032,807008,457574,8/23/2014,9/5/2014,9/25/2014,701007
1369515,101034,230605,817001,463246,6/27/2013,6/21/2013,7/23/2013,701010
381003,101086,220467,820007,464948,9/16/2014,9/29/2014,10/18/2014,701004
1254040,101085,230799,850004,481952,6/5/2014,7/18/2014,7/6/2014,701010
1258513,101009,210011,854007,484226,2/23/2014,2/15/2014,3/20/2014,701010
306014,101168,210218,869003,492730,11/30/2013,11/23/2013,12/25/2013,701011
951025,101073,230753,877005,497265,2/28/2013,3/20/2013,4/3/2013,701010
891020,101034,230605,879008,498395,12/6/2013,12/22/2013,1/8/2014,701010
1191025,101163,210210,884003,501229,1/15/2013,2/27/2013,2/12/2013,701010
661517,101085,230761,892007,505768,11/12/2014,11/27/2014,12/13/2014,701010
28528,101034,230627,916009,519377,8/11/2013,7/13/2013,9/10/2013,701008
1468531,101197,210257,919007,521074,7/28/2013,7/22/2013,8/24/2013,701010
1222536,101073,230718,933009,529023,5/31/2014,7/11/2014,6/30/2014,701010
291005,101030,220327,937002,531280,3/20/2014,1/28/2014,4/23/2014,701003
24011,101090,230873,940008,532988,10/29/2013,9/19/2013,11/28/2013,701004
49536,101085,230774,963002,546022,12/23/2013,1/9/2014,1/19/2014,701002
585018,101070,220443,964009,546601,5/31/2014,4/7/2014,6/28/2014,701003
1032032,101090,230846,972001,551132,2/10/2013,4/10/2013,3/14/2013,701010
871534,101090,230860,983003,557373,7/6/2014,5/12/2014,8/2/2014,701010
81011,101034,230631,984008,557938,8/1/2014,7/3/2014,8/29/2014,701008
1362040,101036,210043,991005,561904,5/17/2014,6/7/2014,6/13/2014,701010
1263031,101004,220301,1026009,581745,8/17/2013,8/30/2013,9/13/2013,701010
1164022,101090,230855,1027004,582316,11/19/2013,10/24/2013,12/23/2013,701010
429032,101090,230859,1032010,585147,8/26/2013,9/23/2013,9/23/2013,701010
1354528,101085,230775,1048006,594223,10/23/2014,12/6/2014,11/17/2014,701010
1113016,101031,230591,1050009,595358,8/22/2013,9/23/2013,9/20/2013,701010
1078502,101086,220468,1057004,599329,5/14/2014,4/2/2014,6/8/2014,701010
1327527,101073,230725,1065007,603865,12/1/2014,11/23/2014,12/30/2014,701010
1381535,101065,220423,1072002,607833,6/22/2014,6/13/2014,7/18/2014,701010
286531,101004,220294,1075002,609530,12/12/2013,1/9/2014,1/10/2014,701011
805526,101038,220369,1077002,610672,12/31/2014,12/12/2014,12/31/2014,701010
9032,101048,210058,1091008,618605,4/21/2013,4/3/2013,5/19/2013,701004
1234515,101139,210177,1150009,652054,3/4/2013,3/24/2013,4/3/2013,701010
1345526,101089,210107,1169009,662829,4/21/2013,3/25/2013,5/24/2013,701010
1450530,101189,210246,1179007,668503,2/4/2013,2/22/2013,3/1/2013,701010
432026,101004,220284,1181010,669632,3/21/2014,2/21/2014,4/16/2014,701003
48021,101086,220465,1202006,681547,11/26/2014,10/6/2014,12/24/2014,701003
319536,101002,220274,1218007,690617,1/27/2014,12/14/2013,2/23/2014,701010
1182002,101080,210098,1248010,707624,5/1/2014,3/7/2014,6/2/2014,701010
712533,101120,210147,1251007,709325,3/14/2014,1/31/2014,4/15/2014,701010
1242038,101096,220513,1262003,715565,4/14/2013,4/2/2013,5/18/2013,701010
1444504,101124,210154,1271003,720669,11/12/2013,11/5/2013,12/14/2013,701010
1038038,101090,230820,1286009,729168,9/8/2013,9/8/2013,10/8/2013,701010
1221013,101085,230792,1287010,729732,11/9/2014,11/5/2014,12/12/2014,701010
1464027,101035,220364,1293004,733137,4/23/2014,5/19/2014,5/21/2014,701010
1101039,101169,210220,1301003,737677,12/31/2014,11/27/2014,12/31/2014,701010
741037,101012,210016,1324003,750714,5/1/2014,5/4/2014,6/1/2014,701010
972017,101031,230572,1326006,751854,10/7/2014,8/18/2014,11/8/2014,701010
325502,101015,210021,1329002,753544,9/20/2014,8/19/2014,10/17/2014,701006
147023,101127,210159,1339002,759219,2/12/2013,2/14/2013,3/11/2013,701004
1350025,101043,210052,1374010,779062,2/24/2013,3/17/2013,3/27/2013,701010
778509,101086,220473,1375005,779633,8/22/2013,10/11/2013,9/25/2013,701010
984009,101197,210258,1393010,789839,12/6/2014,12/23/2014,12/31/2014,701010
916533,101023,210033,1421007,805711,3/31/2014,2/28/2014,4/27/2014,701010
492024,101065,220414,1433009,812519,9/19/2014,8/5/2014,10/21/2014,701003
1332021,101010,210012,1437002,814784,5/28/2013,4/1/2013,6/25/2013,701010
513017,101033,220341,1464002,830098,6/18/2014,6/7/2014,7/22/2014,701007
1170001,101069,230649,1467009,831798,1/20/2014,12/23/2013,2/18/2014,701010
97528,101096,220516,1487003,843133,11/9/2014,10/31/2014,12/6/2014,701011
397536,101191,210250,1498002,849372,7/30/2013,7/18/2013,8/24/2013,701002
786007,101099,210117,1500010,850503,11/9/2014,10/8/2014,12/9/2014,701010
60013,101073,230725,1501009,851075,1/12/2013,2/22/2013,2/9/2013,701003
847534,101004,220289,1503010,852213,11/2/2013,11/9/2013,12/5/2013,701010
1039518,101014,210019,1504010,852780,7/20/2013,5/22/2013,8/22/2013,701010
25539,101038,220388,1509007,855616,12/31/2014,12/31/2014,12/31/2014,701005
1482014,101002,220276,1541005,873758,11/8/2014,10/9/2014,12/5/2014,701010
1243501,101090,230861,1543008,874882,7/2/2013,6/22/2013,7/28/2013,701010
1384527,101038,220381,1553003,880563,12/12/2014,10/25/2014,12/31/2014,701010
865529,101009,210010,1608010,911738,10/22/2013,9/21/2013,11/20/2013,701010
459005,101069,230677,1611001,913446,1/26/2013,2/5/2013,2/28/2013,701011
73520,101112,210136,1612009,914013,3/11/2014,3/22/2014,4/6/2014,701005
1143029,101002,220271,1621006,919113,4/6/2014,5/22/2014,5/3/2014,701010
597004,101004,220285,1666003,944628,7/28/2014,9/14/2014,8/22/2014,701001
1095020,101181,210234,1667004,945190,8/20/2014,7/30/2014,9/23/2014,701010
732039,101090,230836,1693001,959938,10/30/2014,9/8/2014,11/29/2014,701010
298538,101099,210117,1702010,965037,4/21/2013,5/4/2013,5/23/2013,701009
66025,101164,210212,1729002,980352,12/1/2014,12/21/2014,12/27/2014,701009
75010,101111,210135,1739008,986026,7/1/2014,6/18/2014,7/31/2014,701008
276005,101090,230821,1751008,992825,8/18/2013,9/4/2013,9/19/2013,701008
618005,101073,230725,1805006,1023443,2/23/2013,4/14/2013,3/24/2013,701005
526521,101024,210034,1819007,1031377,7/18/2014,6/2/2014,8/16/2014,701003
535520,101033,220343,1835010,1040450,9/10/2014,10/16/2014,10/10/2014,701006
1477526,101069,230670,1837004,1041585,6/13/2014,4/30/2014,7/13/2014,701010
1134001,101085,230778,1842005,1044418,7/26/2013,8/1/2013,8/26/2013,701010
606027,101090,230845,1847006,1047257,7/31/2014,9/13/2014,8/30/2014,701007
51004,101069,230676,1869010,1059735,10/3/2013,9/20/2013,11/2/2013,701009
945021,101025,220315,1878003,1064827,12/25/2014,12/12/2014,12/31/2014,701010
793535,101176,210229,1891007,1072200,5/3/2013,7/2/2013,6/3/2013,701010
630003,101175,210228,1897005,1075603,7/7/2014,9/2/2014,8/6/2014,701010
19521,101025,220302,1910005,1082974,8/21/2014,8/14/2014,9/21/2014,701006
898520,101075,210092,1963002,1113033,11/15/2014,10/29/2014,12/17/2014,701010
772516,101034,230628,1977003,1120962,10/14/2014,11/4/2014,11/15/2014,701010
1015501,101073,230748,1980004,1122669,2/5/2014,2/28/2014,3/9/2014,701010
391522,101035,220358,1981010,1123240,12/13/2013,11/11/2013,1/13/2014,701007
1459533,101085,230806,1995005,1131178,9/12/2014,11/5/2014,10/16/2014,701010
1218003,101070,220444,1997004,1132311,10/19/2014,10/6/2014,11/19/2014,701010
625510,101184,210239,2010008,1139681,5/31/2013,5/7/2013,7/4/2013,701010
960007,101070,220429,2013010,1141378,11/8/2014,10/14/2014,12/3/2014,701010
90040,101069,230663,2018001,1144212,3/29/2013,4/13/2013,4/26/2013,701011
201039,101069,230672,2024010,1147617,8/31/2014,7/5/2014,9/25/2014,701005
475532,101086,220483,2035006,1153848,8/4/2013,8/15/2013,9/1/2013,701006
181539,101093,220499,2112005,1197515,6/19/2014,7/31/2014,7/14/2014,701007
756036,101069,230696,2116006,1199778,2/19/2014,2/11/2014,3/23/2014,701010
1281034,101009,210010,2121001,1202618,3/19/2013,3/10/2013,4/14/2013,701010
1057518,101030,220318,2122005,1203175,5/9/2013,4/28/2013,6/4/2013,701010
120018,101096,220515,2148002,1217922,7/5/2014,6/14/2014,8/3/2014,701006
406526,101069,230688,2156002,1222454,5/4/2013,3/29/2013,6/6/2013,701004
1041030,101004,220299,2157005,1223026,3/28/2013,5/1/2013,4/24/2013,701010
138011,101106,210128,2163002,1226433,11/9/2014,12/6/2014,12/7/2014,701007
366021,101160,210206,2166004,1228129,8/1/2013,8/5/2013,8/27/2013,701007
438033,101073,230737,2168001,1229265,9/14/2013,8/13/2013,10/9/2013,701010
745512,101090,230843,2184009,1238340,9/19/2014,8/31/2014,10/17/2014,701010
867009,101031,230566,2198003,1246274,1/29/2014,2/24/2014,2/28/2014,701010
1225507,101040,210047,2276010,1290494,12/31/2014,11/21/2014,12/31/2014,701010
744036,101034,230604,2289001,1297867,9/17/2013,8/11/2013,10/14/2013,701010
949518,101055,210067,2303010,1305804,3/17/2014,2/24/2014,4/16/2014,701010
649524,101199,210262,2306008,1307504,3/17/2014,1/29/2014,4/16/2014,701010
463523,101125,210155,2314004,1312046,9/20/2013,9/23/2013,10/24/2013,701004
1077009,101127,210158,2321006,1316008,11/18/2013,12/11/2013,12/18/2013,701010
85538,101086,220481,2325009,1318278,6/27/2014,5/25/2014,7/23/2014,701008
22529,101197,210258,2329010,1320554,6/26/2014,7/22/2014,7/22/2014,701004
760520,101069,230656,2334005,1323386,7/19/2014,6/19/2014,8/16/2014,701010
973513,101069,230648,2341008,1327359,3/30/2013,5/24/2013,4/30/2013,701010
1201526,101139,210177,2346004,1330191,11/8/2013,9/10/2013,12/8/2013,701010
472507,101032,210041,2349005,1331894,1/15/2013,1/28/2013,2/14/2013,701008
337511,101091,210108,2361001,1338689,2/27/2014,2/3/2014,4/1/2014,701001
1270513,101073,230740,2365002,1340965,7/26/2013,8/24/2013,8/24/2013,701010
922534,101090,230833,2384001,1351730,10/15/2013,9/23/2013,11/15/2013,701010
565511,101073,230709,2390007,1355141,2/24/2013,4/17/2013,3/30/2013,701011
1146023,101070,220444,2392002,1356265,4/25/2014,6/7/2014,5/26/2014,701010
1036505,101031,230587,2396005,1358543,9/18/2013,10/29/2013,10/13/2013,701010
1185005,101074,210090,2400008,1360805,8/8/2013,6/19/2013,9/9/2013,701010
693014,101090,230864,2408009,1365348,9/4/2014,9/21/2014,9/29/2014,701010
162023,101090,230822,2411005,1367047,3/2/2013,2/9/2013,4/1/2013,701006
676508,101085,230796,2421008,1372715,12/4/2014,11/7/2014,12/30/2014,701010
933018,101073,230707,2456003,1392562,12/20/2012,2/2/2013,1/19/2013,701010
648011,101093,220494,2461004,1395394,12/27/2013,1/17/2014,1/27/2014,701010
175529,101062,210079,2477010,1404468,8/24/2013,9/26/2013,9/26/2013,701004
901527,101147,210188,2478003,1405035,11/19/2014,11/11/2014,12/19/2014,701010
123004,101034,230615,2501004,1418068,7/7/2014,8/7/2014,8/2/2014,701007
1080015,101073,230741,2510006,1423174,9/3/2013,7/15/2013,9/30/2013,701010
1357507,101073,230741,2519006,1428278,6/29/2014,8/13/2014,7/26/2014,701010
897023,101164,210213,2533010,1436224,12/15/2014,10/30/2014,12/31/2014,701010
1279530,101034,230610,2534005,1436782,12/21/2014,12/26/2014,12/31/2014,701010
1317024,101093,220498,2546003,1443591,7/17/2014,6/16/2014,8/16/2014,701010
324039,101190,210248,2555003,1448690,4/15/2014,5/16/2014,5/16/2014,701010
160524,101120,210147,2574009,1459466,4/8/2013,4/29/2013,5/10/2013,701007
1378507,101025,220315,2583009,1464573,12/31/2014,12/17/2014,12/31/2014,701010
516015,101085,230778,2586008,1466266,7/25/2014,8/29/2014,8/21/2014,701006
1320029,101085,230783,2599006,1473644,6/19/2014,6/9/2014,7/19/2014,701010
1117533,101054,210066,2600002,1474204,9/27/2014,10/21/2014,10/29/2014,701010
348009,101180,210233,2639003,1496316,7/7/2014,6/1/2014,8/8/2014,701009
967524,101069,230647,2658006,1507099,12/31/2014,12/29/2014,12/31/2014,701010
1278040,101168,210217,2675010,1516738,8/16/2014,8/18/2014,9/13/2014,701010
1474520,101082,220446,2694004,1527503,12/13/2013,11/19/2013,1/14/2014,701010
1359013,101034,230602,2706010,1534311,4/13/2013,5/24/2013,5/10/2013,701010
775514,101124,210153,2708009,1535442,6/29/2014,8/22/2014,7/24/2014,701010
108025,101010,210013,2717008,1540541,10/22/2014,11/8/2014,11/22/2014,701007
340516,101031,230588,2732007,1549053,11/20/2012,1/15/2013,12/18/2012,701002
628505,101149,210190,2737002,1551883,11/6/2013,12/17/2013,12/2/2013,701010
514536,101073,230755,2754008,1561519,8/22/2014,7/20/2014,9/21/2014,701004
1123532,101031,230569,2764006,1567201,7/13/2014,6/30/2014,8/14/2014,701010
937517,101034,230645,2767009,1568892,11/16/2013,9/22/2013,12/16/2013,701010
199506,101090,230856,2770001,1570593,6/21/2014,6/22/2014,7/25/2014,701011
477007,101045,210053,2773009,1572302,12/3/2014,10/19/2014,12/31/2014,701003
1162530,101086,220470,2797003,1585911,12/23/2012,2/16/2013,1/25/2013,701010
258014,101093,220498,2808007,1592137,6/16/2014,7/29/2014,7/11/2014,701001
948021,101086,220475,2810007,1593274,12/2/2014,11/16/2014,12/31/2014,701010
1407011,101070,220438,2839003,1609717,12/23/2013,11/16/2013,1/19/2014,701010
550502,101082,220451,2843005,1611991,6/29/2013,5/11/2013,8/2/2013,701009
1135518,101170,210221,2854010,1618229,11/17/2014,10/14/2014,12/21/2014,701010
358525,101069,230702,2856002,1619360,1/5/2013,2/10/2013,1/31/2013,701003
969027,101090,230862,2861004,1622190,12/30/2012,2/20/2013,1/28/2013,701010
1425008,101034,230629,2873005,1629001,11/20/2014,11/16/2014,12/24/2014,701010
448535,101098,220539,2895009,1641477,11/30/2014,12/13/2014,12/27/2014,701003
1261523,101007,210008,2903008,1646010,5/7/2013,5/20/2013,6/6/2013,701010
904512,101093,220498,2931003,1661880,4/3/2014,4/2/2014,4/29/2014,701010
1272018,101062,210079,2947004,1670951,3/16/2013,2/17/2013,4/17/2013,701010
61525,101030,220326,2987010,1693635,11/2/2013,12/22/2013,12/6/2013,701003
570027,101085,230797,2998005,1699867,6/8/2014,7/27/2014,7/6/2014,701011
195028,101053,210064,3002002,1702138,1/24/2013,1/2/2013,2/18/2013,701009
322521,101009,210011,3007001,1704977,10/19/2013,9/9/2013,11/16/2013,701003
402025,101069,230696,3018007,1711209,12/31/2014,12/16/2014,12/31/2014,701008
33017,101069,230666,3057009,1733327,12/27/2014,11/1/2014,12/31/2014,701008
970539,101002,220279,3067006,1738992,8/2/2013,9/2/2013,9/1/2013,701010
1393518,101090,230821,3092002,1753167,10/5/2013,10/31/2013,11/4/2013,701010
1005003,101199,210262,3117005,1767350,10/18/2013,11/28/2013,11/13/2013,701010
582024,101085,230782,3124002,1771321,7/13/2013,5/27/2013,8/11/2013,701005
1056012,101070,220432,3139001,1779823,5/22/2013,4/19/2013,6/16/2013,701010
694538,101086,220465,3150008,1786051,5/1/2014,5/24/2014,5/26/2014,701010
1048518,101093,220495,3169001,1796834,4/19/2014,5/9/2014,5/16/2014,701010
837023,101073,230726,3171008,1797963,12/22/2012,2/9/2013,1/23/2013,701010
1075526,101096,220514,3182006,1804205,8/14/2013,9/6/2013,9/16/2013,701010
670524,101100,210118,3189006,1808165,7/14/2013,6/13/2013,8/16/2013,701010
921035,101031,230572,3193003,1810443,2/20/2013,1/4/2013,3/19/2013,701010
579029,101114,210139,3201005,1814980,5/11/2014,5/7/2014,6/9/2014,701002
999008,101055,210067,3202009,1815538,5/25/2013,4/21/2013,6/28/2013,701010
1336534,101070,220439,3209010,1819504,1/19/2014,11/26/2013,2/17/2014,701010
976528,101012,210016,3224008,1828015,9/18/2014,9/12/2014,10/22/2014,701010
987039,101064,210081,3229003,1830856,7/12/2013,8/4/2013,8/13/2013,701010
1087536,101128,210160,3238010,1835957,12/30/2012,2/16/2013,1/26/2013,701010
1200008,101090,230839,3247003,1841061,3/4/2014,3/5/2014,4/5/2014,701010
886503,101065,220414,3250004,1842760,10/4/2013,8/12/2013,11/6/2013,701010
1099535,101094,210111,3264005,1850690,6/24/2013,8/11/2013,7/19/2013,701010
486004,101138,210175,3291003,1866002,9/15/2013,9/27/2013,10/10/2013,701001
873031,101103,210125,3295007,1868266,6/29/2013,8/27/2013,8/2/2013,701010
780002,101096,220502,3311006,1877342,9/1/2014,9/21/2014,10/1/2014,701010
1318528,101145,210186,3317004,1880748,9/9/2013,8/2/2013,10/5/2013,701010
1012508,101034,230628,3318003,1881316,5/31/2014,5/14/2014,6/27/2014,701010
1210538,101073,230734,3337004,1892082,10/3/2014,11/28/2014,11/1/2014,701010
1255537,101089,210106,3342006,1894926,6/16/2013,6/29/2013,7/14/2013,701010
421540,101159,210204,3351005,1900023,5/11/2014,4/5/2014,6/8/2014,701008
838508,101186,210242,3355003,1902286,5/28/2014,5/22/2014,6/24/2014,701010
642025,101002,220273,3362010,1906265,5/24/2013,7/21/2013,6/25/2013,701010
753031,101002,220267,3388001,1921005,6/29/2014,7/17/2014,7/24/2014,701010
520538,101096,220506,3390007,1922141,12/26/2014,11/29/2014,12/31/2014,701010
295517,101086,220478,3394002,1924408,11/20/2014,10/4/2014,12/21/2014,701011
1000518,101069,230699,3406005,1931208,2/9/2013,1/31/2013,3/8/2013,701010
829508,101085,230799,3410009,1933474,12/10/2014,12/8/2014,12/31/2014,701010
249003,101090,230818,3416004,1936877,12/26/2014,10/31/2014,12/31/2014,701003
252001,101034,230639,3428007,1943677,10/1/2013,8/5/2013,11/1/2013,701011
564002,101002,220268,3431001,1945381,2/3/2013,3/31/2013,3/2/2013,701009
63024,101150,210192,3440008,1950493,5/26/2014,7/14/2014,6/28/2014,701008
264001,101032,210041,3443001,1952190,11/30/2014,11/3/2014,12/31/2014,701004
846020,101096,220508,3446008,1953893,12/23/2013,12/3/2013,1/17/2014,701010
804006,101043,210052,3451007,1956724,1/14/2014,3/8/2014,2/12/2014,701010
18004,101034,230640,3454003,1958429,7/12/2013,5/15/2013,8/6/2013,701008
1144540,101086,220476,3465008,1964659,8/18/2014,8/11/2014,9/17/2014,701010
285029,101090,230872,3466002,1965226,4/21/2013,5/16/2013,5/21/2013,701003
1323015,101069,230702,3526004,1999252,3/30/2014,2/16/2014,5/3/2014,701010
783002,101030,220334,3544001,2009455,10/9/2013,9/5/2013,11/11/2013,701010
601502,101069,230695,3559002,2017958,8/25/2014,9/12/2014,9/21/2014,701009
495034,101038,220374,3563004,2020232,7/6/2014,8/21/2014,8/5/2014,701005
1296003,101159,210204,3571010,2024761,11/23/2013,12/26/2013,12/18/2013,701010
